time,MET,T_C,RH_pct,P_hPa
 331.5s,29425,24.50,45.0,993.2
 332.0s,29426,24.50,45.0,993.2
 332.5s,29427,24.50,45.0,993.2
 333.0s,29428,24.50,45.0,993.2
 333.5s,29429,24.50,45.0,993.2
 334.0s,29430,24.50,45.0,993.2
 334.5s,29431,24.50,45.0,993.2
 335.0s,29432,24.50,45.0,993.2
 335.5s,29433,24.50,45.0,993.2
 336.0s,29434,24.50,45.0,993.2
 336.5s,29435,24.50,45.0,993.2
 337.0s,29436,24.50,45.0,993.2
 337.5s,29437,24.50,45.0,993.2
 338.0s,29438,24.50,45.0,993.2
 338.5s,29439,24.50,45.0,993.2
 339.0s,29440,24.50,45.0,993.2
 339.5s,29441,24.50,45.0,993.2
 340.0s,29442,24.50,45.0,993.2
 340.5s,29443,24.50,45.0,993.2
 341.0s,29444,24.50,45.0,993.2
 341.5s,29445,24.50,45.0,993.2
 342.0s,29446,24.50,45.0,993.2
 342.5s,29447,24.50,45.0,993.2
 343.0s,29448,24.50,45.0,993.2
 343.5s,29449,24.50,45.0,993.2
 344.0s,29450,24.50,45.0,993.2
 344.5s,29451,24.50,45.0,993.2
 345.0s,29452,24.50,45.0,993.2
 345.5s,29453,24.50,45.0,993.2
 346.0s,29454,24.50,45.0,993.2
 346.5s,29455,24.50,45.0,993.2
 347.0s,29456,24.50,45.0,993.2
 347.5s,29457,24.50,45.0,993.2
 348.0s,29458,24.50,45.0,993.2
 348.5s,29459,24.50,45.0,993.2
 349.0s,29460,24.60,45.0,993.2
 349.5s,29461,24.60,45.0,993.2
 350.0s,29462,24.60,45.0,993.2
 350.5s,29463,24.60,45.0,993.2
 351.0s,29464,24.50,45.0,993.2
 351.5s,29465,24.50,45.0,993.2
 352.0s,29466,24.50,45.0,993.2
 352.5s,29467,24.50,45.0,993.2
 353.0s,29468,24.50,45.0,993.2
 353.5s,29469,24.60,45.0,993.2
 354.0s,29470,24.60,45.0,993.2
 354.5s,29471,24.60,45.0,993.2
 355.0s,29472,24.60,45.0,993.2
 355.5s,29473,24.60,45.0,993.2
 356.0s,29474,24.60,45.0,993.2
 356.5s,29475,24.60,45.0,993.2
 357.0s,29476,24.60,45.0,993.2
 357.5s,29477,24.50,45.0,993.2
 358.0s,29478,24.50,45.0,993.2
 358.5s,29479,24.60,45.0,993.2
 359.0s,29480,24.60,45.0,993.2
 359.5s,29481,24.60,45.0,993.2
 360.0s,29482,24.60,45.0,993.2
 360.5s,29483,24.60,45.0,993.2
 361.0s,29484,24.50,45.0,993.2
 361.5s,29485,24.50,45.0,993.2
 362.0s,29486,24.50,45.0,993.2
 362.5s,29487,24.50,45.0,993.2
 363.0s,29488,24.50,45.0,993.2
 363.5s,29489,24.50,45.0,993.2
 364.0s,29490,24.50,45.0,993.2
 364.5s,29491,24.50,45.0,993.2
 365.0s,29492,24.50,45.0,993.2
 365.5s,29493,24.50,45.0,993.2
 366.0s,29494,24.50,45.0,993.2
 366.5s,29495,24.50,45.0,993.2
 367.0s,29496,24.50,45.0,993.2
 367.5s,29497,24.50,45.0,993.2
 368.0s,29498,24.50,45.0,993.2
 368.5s,29499,24.50,45.0,993.2
 369.0s,29500,24.50,45.0,993.2
 369.5s,29501,24.50,45.0,993.2
 370.0s,29502,24.50,45.0,993.2
 370.5s,29503,24.50,45.0,993.2
 371.0s,29504,24.50,45.0,993.2
 371.5s,29505,24.50,45.0,993.2
 372.0s,29506,24.50,45.0,993.2
 372.5s,29507,24.50,45.0,993.2
 373.0s,29508,24.50,45.0,993.2
 373.5s,29509,24.50,45.0,993.2
 374.0s,29510,24.50,45.0,993.2
 374.5s,29511,24.50,45.0,993.2
 375.0s,29512,24.40,45.0,993.2
 375.5s,29513,24.40,45.0,993.2
 376.0s,29514,24.40,45.0,993.2
 376.5s,29515,24.40,45.0,993.2
 377.0s,29516,24.40,46.0,993.2
 377.5s,29517,24.40,49.0,993.2
 378.0s,29518,24.40,53.0,993.2
 378.5s,29519,24.40,52.0,993.2
 379.0s,29520,24.40,51.0,993.2
 379.5s,29521,24.40,50.0,993.2
 380.0s,29522,24.40,49.0,993.2
 380.5s,29523,24.30,49.0,993.2
 381.0s,29524,24.30,48.0,993.2
 381.5s,29525,24.30,48.0,993.2
 382.0s,29526,24.30,47.0,993.2
 382.5s,29527,24.30,47.0,993.0
 383.0s,29528,24.30,47.0,993.2
 383.5s,29529,24.30,47.0,993.2
 384.0s,29530,24.30,46.0,993.2
 384.5s,29531,24.30,46.0,993.2
 385.0s,29532,24.30,46.0,993.2
 385.5s,29533,24.30,46.0,993.2
 386.0s,29534,24.30,46.0,993.0
 386.5s,29535,24.30,46.0,993.2
 387.0s,29536,24.30,46.0,993.2
 387.5s,29537,24.30,46.0,993.0
 388.0s,29538,24.30,46.0,993.0
 388.5s,29539,24.30,46.0,993.2
 389.0s,29540,24.30,46.0,993.2
 389.5s,29541,24.30,46.0,993.2
 390.0s,29542,24.30,46.0,993.2
 390.5s,29543,24.30,46.0,993.2
 391.0s,29544,24.30,46.0,993.2
 391.5s,29545,24.20,46.0,993.2
 392.0s,29546,24.20,46.0,993.2
 392.5s,29547,24.20,46.0,993.2
 393.0s,29548,24.20,46.0,993.2
 393.5s,29549,24.20,46.0,993.2
 394.0s,29550,24.20,46.0,993.2
 394.5s,29551,24.20,46.0,993.2
 395.0s,29552,24.20,46.0,993.2
 395.5s,29553,24.20,46.0,993.2
 396.0s,29554,24.20,46.0,993.2
 396.5s,29555,24.20,46.0,993.2
 397.0s,29556,24.20,46.0,993.2
 397.5s,29557,24.20,46.0,993.2
 398.0s,29558,24.20,46.0,993.2
 398.5s,29559,24.20,46.0,993.2
 399.0s,29560,24.20,46.0,993.2
 399.5s,29561,24.20,46.0,993.2
 400.0s,29562,24.20,46.0,993.2
 400.5s,29563,24.20,46.0,993.2
 401.0s,29564,24.20,46.0,993.2
 401.5s,29565,24.20,46.0,993.2
 402.0s,29566,24.20,46.0,993.2
 402.5s,29567,24.20,46.0,993.2
 403.0s,29568,24.20,46.0,993.2
 403.5s,29569,24.20,46.0,993.2
 404.0s,29570,24.20,46.0,993.2
 404.5s,29571,24.20,46.0,993.2
 405.0s,29572,24.20,46.0,993.2
 405.5s,29573,24.20,46.0,993.2
 406.0s,29574,24.20,46.0,993.2
 406.5s,29575,24.20,46.0,993.2
 407.0s,29576,24.20,46.0,993.2
 407.5s,29577,24.20,46.0,993.2
 408.0s,29578,24.20,46.0,993.2
 408.5s,29579,24.20,46.0,993.2
 409.0s,29580,24.20,46.0,993.2
 409.5s,29581,24.20,46.0,993.2
