time,MET,T_C,RH_pct,P_hPa
  76.0s,28914,24.40,46.0,993.2
  76.5s,28915,24.40,46.0,993.2
  77.0s,28916,24.40,46.0,993.2
  77.5s,28917,24.40,46.0,993.2
  78.0s,28918,24.40,46.0,993.2
  78.5s,28919,24.40,46.0,993.2
  79.0s,28920,24.40,46.0,993.2
  79.5s,28921,24.40,46.0,993.2
  80.0s,28922,24.40,46.0,993.2
  80.5s,28923,24.40,46.0,993.2
  81.0s,28924,24.40,46.0,993.2
  81.5s,28925,24.40,46.0,993.2
  82.0s,28926,24.40,46.0,993.2
  82.5s,28927,24.40,46.0,993.2
  83.0s,28928,24.40,46.0,993.2
  83.5s,28929,24.40,46.0,993.2
  84.0s,28930,24.40,46.0,993.2
  84.5s,28931,24.40,46.0,993.2
  85.0s,28932,24.40,46.0,993.2
  85.5s,28933,24.40,46.0,993.2
  86.0s,28934,24.40,46.0,993.2
  86.5s,28935,24.40,46.0,993.2
  87.0s,28936,24.40,46.0,993.2
  87.5s,28937,24.40,46.0,993.2
  88.0s,28938,24.40,46.0,993.2
  88.5s,28939,24.40,46.0,993.2
  89.0s,28940,24.40,46.0,993.2
  89.5s,28941,24.40,46.0,993.2
  90.0s,28942,24.40,46.0,993.2
  90.5s,28943,24.40,46.0,993.2
  91.0s,28944,24.40,46.0,993.2
  91.5s,28945,24.40,46.0,993.2
  92.0s,28946,24.40,46.0,993.2
  92.5s,28947,24.40,46.0,993.2
  93.0s,28948,24.40,46.0,993.2
  93.5s,28949,24.40,46.0,993.2
  94.0s,28950,24.40,46.0,993.2
  94.5s,28951,24.40,46.0,993.2
  95.0s,28952,24.40,46.0,993.2
  95.5s,28953,24.40,46.0,993.2
  96.0s,28954,24.40,46.0,993.2
  96.5s,28955,24.40,46.0,993.2
  97.0s,28956,24.40,46.0,993.2
  97.5s,28957,24.40,46.0,993.2
  98.0s,28958,24.40,46.0,993.2
  98.5s,28959,24.40,46.0,993.2
  99.0s,28960,24.40,46.0,993.2
  99.5s,28961,24.40,46.0,993.2
 100.0s,28962,24.40,46.0,993.2
 100.5s,28963,24.40,46.0,993.2
 101.0s,28964,24.40,46.0,993.2
 101.5s,28965,24.40,46.0,993.2
 102.0s,28966,24.40,46.0,993.2
 102.5s,28967,24.40,46.0,993.2
 103.0s,28968,24.40,46.0,993.2
 103.5s,28969,24.40,46.0,993.2
 104.0s,28970,24.40,46.0,993.2
 104.5s,28971,24.40,46.0,993.2
 105.0s,28972,24.40,46.0,993.2
 105.5s,28973,24.40,46.0,993.2
 106.0s,28974,24.40,46.0,993.2
 106.5s,28975,24.40,46.0,993.2
 107.0s,28976,24.40,46.0,993.2
 107.5s,28977,24.30,50.0,993.2
 108.0s,28978,24.30,54.0,993.2
 108.5s,28979,24.30,56.0,993.2
 109.0s,28980,24.30,55.0,993.2
 109.5s,28981,24.30,53.0,993.2
 110.0s,28982,24.30,52.0,993.2
 110.5s,28983,24.30,51.0,993.2
 111.0s,28984,24.30,50.0,993.2
 111.5s,28985,24.30,49.0,993.2
 112.0s,28986,24.30,49.0,993.2
 112.5s,28987,24.30,48.0,993.2
 113.0s,28988,24.30,48.0,993.2
 113.5s,28989,24.30,48.0,993.2
 114.0s,28990,24.30,48.0,993.2
 114.5s,28991,24.30,47.0,993.2
 115.0s,28992,24.30,47.0,993.2
 115.5s,28993,24.30,47.0,993.2
 116.0s,28994,24.30,47.0,993.2
 116.5s,28995,24.30,47.0,993.2
 117.0s,28996,24.30,47.0,993.2
 117.5s,28997,24.30,47.0,993.2
 118.0s,28998,24.30,47.0,993.2
 118.5s,28999,24.30,47.0,993.2
 119.0s,29000,24.30,47.0,993.2
 119.5s,29001,24.30,47.0,993.2
 120.0s,29002,24.30,47.0,993.2
 120.5s,29003,24.30,47.0,993.2
 121.0s,29004,24.30,47.0,993.2
 121.5s,29005,24.30,47.0,993.2
 122.0s,29006,24.30,47.0,993.2
 122.5s,29007,24.30,47.0,993.2
 123.0s,29008,24.30,47.0,993.2
 123.5s,29009,24.30,47.0,993.2
 124.0s,29010,24.30,47.0,993.2
 124.5s,29011,24.30,47.0,993.2
 125.0s,29012,24.30,47.0,993.2
 125.5s,29013,24.30,46.0,993.2
 126.0s,29014,24.20,46.0,993.2
 126.5s,29015,24.20,47.0,993.2
 127.0s,29016,24.20,51.0,993.0
 127.5s,29017,24.20,56.0,993.0
 128.0s,29018,24.30,57.0,993.0
 128.5s,29019,24.40,57.0,993.0
 129.0s,29020,24.50,58.0,993.0
 129.5s,29021,24.60,61.0,993.0
 130.0s,29022,24.80,63.0,993.0
 130.5s,29023,25.00,65.0,993.0
 131.0s,29024,25.20,65.0,992.9
 131.5s,29025,25.60,66.0,992.9
 132.0s,29026,25.90,66.0,992.9
 132.5s,29027,26.20,66.0,992.9
 133.0s,29028,26.40,66.0,992.9
 133.5s,29029,26.70,66.0,993.0
 134.0s,29030,27.00,67.0,993.0
 134.5s,29031,27.30,67.0,993.0
 135.0s,29032,27.50,67.0,993.0
 135.5s,29033,27.70,67.0,993.0
 136.0s,29034,27.90,67.0,993.0
 136.5s,29035,28.10,66.0,993.0
 137.0s,29036,28.40,66.0,993.0
 137.5s,29037,28.60,66.0,993.0
 138.0s,29038,28.80,66.0,993.0
 138.5s,29039,29.00,66.0,993.0
 139.0s,29040,29.10,66.0,993.0
 139.5s,29041,29.30,66.0,993.0
 140.0s,29042,29.40,66.0,993.0
 140.5s,29043,29.60,65.0,993.0
 141.0s,29044,29.80,65.0,993.0
 141.5s,29045,29.90,65.0,993.0
 142.0s,29046,30.10,65.0,993.0
 142.5s,29047,30.20,65.0,993.0
 143.0s,29048,30.30,65.0,993.0
 143.5s,29049,30.40,64.0,993.0
 144.0s,29050,30.50,64.0,993.0
 144.5s,29051,30.70,64.0,993.0
 145.0s,29052,30.80,64.0,993.0
 145.5s,29053,30.90,64.0,993.0
 146.0s,29054,31.00,63.0,993.0
 146.5s,29055,31.10,63.0,993.0
 147.0s,29056,31.10,63.0,993.0
 147.5s,29057,31.20,63.0,993.0
 148.0s,29058,31.30,63.0,993.0
 148.5s,29059,31.40,63.0,993.0
 149.0s,29060,31.50,62.0,993.0
 149.5s,29061,31.60,62.0,993.0
 150.0s,29062,31.60,56.0,993.0
 150.5s,29063,31.70,49.0,993.0
 151.0s,29064,31.70,45.0,993.0
 151.5s,29065,31.70,43.0,993.2
 152.0s,29066,31.70,41.0,993.2
 152.5s,29067,31.60,40.0,993.2
 153.0s,29068,31.60,39.0,993.2
 153.5s,29069,31.50,39.0,993.2
 154.0s,29070,31.40,38.0,993.2
 154.5s,29071,31.40,38.0,993.2
 155.0s,29072,31.30,38.0,993.2
 155.5s,29073,31.20,37.0,993.2
 156.0s,29074,31.10,37.0,993.2
 156.5s,29075,31.10,37.0,993.2
 157.0s,29076,31.00,37.0,993.2
 157.5s,29077,30.90,37.0,993.2
 158.0s,29078,30.80,37.0,993.0
 158.5s,29079,30.70,37.0,993.0
 159.0s,29080,30.70,37.0,993.2
 159.5s,29081,30.60,37.0,993.2
 160.0s,29082,30.50,37.0,993.2
 160.5s,29083,30.50,37.0,993.2
 161.0s,29084,30.40,37.0,993.2
 161.5s,29085,30.30,37.0,993.2
 162.0s,29086,30.20,37.0,993.2
 162.5s,29087,30.20,37.0,993.2
 163.0s,29088,30.10,37.0,993.2
 163.5s,29089,30.10,37.0,993.2
 164.0s,29090,30.00,37.0,993.2
 164.5s,29091,29.90,37.0,993.2
 165.0s,29092,29.90,37.0,993.2
 165.5s,29093,29.80,37.0,993.2
 166.0s,29094,29.80,37.0,993.2
 166.5s,29095,29.70,37.0,993.2
 167.0s,29096,29.60,37.0,993.2
 167.5s,29097,29.60,37.0,993.0
 168.0s,29098,29.50,37.0,993.0
 168.5s,29099,29.50,37.0,993.0
 169.0s,29100,29.40,37.0,993.2
 169.5s,29101,29.40,37.0,993.2
 170.0s,29102,29.30,37.0,993.2
 170.5s,29103,29.30,37.0,993.2
 171.0s,29104,29.20,37.0,993.2
 171.5s,29105,29.20,37.0,993.0
 172.0s,29106,29.10,37.0,993.0
 172.5s,29107,29.10,37.0,993.0
 173.0s,29108,29.00,37.0,993.0
 173.5s,29109,29.00,37.0,993.0
 174.0s,29110,28.90,38.0,993.2
 174.5s,29111,28.90,38.0,993.2
 175.0s,29112,28.80,38.0,993.0
 175.5s,29113,28.80,38.0,993.0
 176.0s,29114,28.70,38.0,993.0
 176.5s,29115,28.70,38.0,993.0
 177.0s,29116,28.70,38.0,993.0
 177.5s,29117,28.60,38.0,993.0
 178.0s,29118,28.60,38.0,993.0
 178.5s,29119,28.50,38.0,993.0
 179.0s,29120,28.50,38.0,993.0
 179.5s,29121,28.50,38.0,993.2
 180.0s,29122,28.40,38.0,993.2
 180.5s,29123,28.40,38.0,993.2
 181.0s,29124,28.30,38.0,993.0
 181.5s,29125,28.30,38.0,993.0
 182.0s,29126,28.20,38.0,993.0
 182.5s,29127,28.20,38.0,993.0
 183.0s,29128,28.20,38.0,993.2
 183.5s,29129,28.10,39.0,993.2
 184.0s,29130,28.10,39.0,993.2
 184.5s,29131,28.10,39.0,993.2
 185.0s,29132,28.00,39.0,993.2
 185.5s,29133,28.00,39.0,993.0
 186.0s,29134,27.90,39.0,993.0
 186.5s,29135,27.90,39.0,993.2
 187.0s,29136,27.90,39.0,993.2
 187.5s,29137,27.80,39.0,993.2
 188.0s,29138,27.80,39.0,993.0
 188.5s,29139,27.70,39.0,993.0
 189.0s,29140,27.70,39.0,993.2
 189.5s,29141,27.70,39.0,993.2
 190.0s,29142,27.70,39.0,993.2
 190.5s,29143,27.60,39.0,993.2
 191.0s,29144,27.60,39.0,993.2
 191.5s,29145,27.50,39.0,993.2
 192.0s,29146,27.50,39.0,993.0
 192.5s,29147,27.50,40.0,993.0
 193.0s,29148,27.50,40.0,993.2
 193.5s,29149,27.40,40.0,993.2
 194.0s,29150,27.40,40.0,993.2
 194.5s,29151,27.40,40.0,993.2
 195.0s,29152,27.30,40.0,993.2
 195.5s,29153,27.30,40.0,993.2
 196.0s,29154,27.30,40.0,993.2
 196.5s,29155,27.20,40.0,993.0
 197.0s,29156,27.20,40.0,993.2
 197.5s,29157,27.20,40.0,993.0
 198.0s,29158,27.10,40.0,993.2
 198.5s,29159,27.10,40.0,993.2
 199.0s,29160,27.10,40.0,993.2
 199.5s,29161,27.10,40.0,993.2
 200.0s,29162,27.00,40.0,993.2
 200.5s,29163,27.00,40.0,993.2
 201.0s,29164,27.00,40.0,993.2
 201.5s,29165,26.90,40.0,993.2
 202.0s,29166,26.90,41.0,993.0
 202.5s,29167,26.90,41.0,993.0
 203.0s,29168,26.80,41.0,993.2
 203.5s,29169,26.80,41.0,993.2
 204.0s,29170,26.80,41.0,993.2
 204.5s,29171,26.80,41.0,993.2
 205.0s,29172,26.70,41.0,993.0
 205.5s,29173,26.70,41.0,993.0
 206.0s,29174,26.70,41.0,993.0
 206.5s,29175,26.60,41.0,993.0
 207.0s,29176,26.60,41.0,993.0
 207.5s,29177,26.60,41.0,993.0
 208.0s,29178,26.60,41.0,993.0
 208.5s,29179,26.50,41.0,993.0
 209.0s,29180,26.50,41.0,993.0
 209.5s,29181,26.50,41.0,993.0
 210.0s,29182,26.50,41.0,993.2
 210.5s,29183,26.40,41.0,993.2
 211.0s,29184,26.40,41.0,993.0
 211.5s,29185,26.40,42.0,993.0
 212.0s,29186,26.40,42.0,993.0
 212.5s,29187,26.30,42.0,993.0
 213.0s,29188,26.30,42.0,993.0
 213.5s,29189,26.30,42.0,993.0
 214.0s,29190,26.30,42.0,993.0
 214.5s,29191,26.30,42.0,993.0
 215.0s,29192,26.30,42.0,993.0
 215.5s,29193,26.30,42.0,993.0
 216.0s,29194,26.30,42.0,993.0
 216.5s,29195,26.20,42.0,993.0
 217.0s,29196,26.20,42.0,993.0
 217.5s,29197,26.20,42.0,993.0
 218.0s,29198,26.20,42.0,993.0
 218.5s,29199,26.20,42.0,993.0
 219.0s,29200,26.20,42.0,993.0
 219.5s,29201,26.20,42.0,993.2
 220.0s,29202,26.20,42.0,993.2
 220.5s,29203,26.10,42.0,993.2
 221.0s,29204,26.10,42.0,993.0
 221.5s,29205,26.10,42.0,993.0
 222.0s,29206,26.10,42.0,993.0
 222.5s,29207,26.10,42.0,993.0
 223.0s,29208,26.00,42.0,993.0
 223.5s,29209,26.00,42.0,993.0
 224.0s,29210,26.00,42.0,993.0
 224.5s,29211,26.00,42.0,993.0
 225.0s,29212,26.00,42.0,993.0
 225.5s,29213,26.00,42.0,993.0
 226.0s,29214,26.00,42.0,993.0
 226.5s,29215,25.90,42.0,993.0
 227.0s,29216,25.90,42.0,993.0
 227.5s,29217,25.90,42.0,993.0
 228.0s,29218,25.90,42.0,993.0
 228.5s,29219,25.90,43.0,993.0
 229.0s,29220,25.90,43.0,993.0
 229.5s,29221,25.90,43.0,993.0
 230.0s,29222,25.80,43.0,993.2
 230.5s,29223,25.80,43.0,993.2
 231.0s,29224,25.80,43.0,993.0
 231.5s,29225,25.80,43.0,993.0
 232.0s,29226,25.80,43.0,993.0
 232.5s,29227,25.80,43.0,993.0
 233.0s,29228,25.70,43.0,993.2
 233.5s,29229,25.70,43.0,993.2
 234.0s,29230,25.70,43.0,993.2
 234.5s,29231,25.70,43.0,993.2
 235.0s,29232,25.70,43.0,993.2
 235.5s,29233,25.60,43.0,993.0
 236.0s,29234,25.60,43.0,993.0
 236.5s,29235,25.60,43.0,993.2
 237.0s,29236,25.60,43.0,993.0
 237.5s,29237,25.60,43.0,993.0
 238.0s,29238,25.60,43.0,993.0
 238.5s,29239,25.50,43.0,993.0
 239.0s,29240,25.50,43.0,993.0
 239.5s,29241,25.50,43.0,993.0
 240.0s,29242,25.50,43.0,993.2
 240.5s,29243,25.50,43.0,993.0
 241.0s,29244,25.50,43.0,993.0
 241.5s,29245,25.50,43.0,993.0
 242.0s,29246,25.40,43.0,993.0
 242.5s,29247,25.40,43.0,993.0
 243.0s,29248,25.40,43.0,993.0
 243.5s,29249,25.40,43.0,993.0
 244.0s,29250,25.40,43.0,993.0
 244.5s,29251,25.40,43.0,993.0
 245.0s,29252,25.40,43.0,993.0
 245.5s,29253,25.30,43.0,993.0
 246.0s,29254,25.30,44.0,993.0
 246.5s,29255,25.30,44.0,993.0
 247.0s,29256,25.30,44.0,993.0
 247.5s,29257,25.30,44.0,993.0
 248.0s,29258,25.30,44.0,993.0
 248.5s,29259,25.30,44.0,993.0
 249.0s,29260,25.30,44.0,993.0
 249.5s,29261,25.30,44.0,993.0
 250.0s,29262,25.30,44.0,993.0
 250.5s,29263,25.30,44.0,993.0
 251.0s,29264,25.20,44.0,993.0
 251.5s,29265,25.20,44.0,993.0
 252.0s,29266,25.20,44.0,993.0
 252.5s,29267,25.20,44.0,993.0
 253.0s,29268,25.20,44.0,993.0
 253.5s,29269,25.20,44.0,993.0
 254.0s,29270,25.20,44.0,993.2
 254.5s,29271,25.20,44.0,993.2
 255.0s,29272,25.20,44.0,993.2
 255.5s,29273,25.20,44.0,993.2
 256.0s,29274,25.20,44.0,993.0
 256.5s,29275,25.20,44.0,993.0
 257.0s,29276,25.10,44.0,993.0
 257.5s,29277,25.10,44.0,993.0
 258.0s,29278,25.10,44.0,993.0
 258.5s,29279,25.10,44.0,993.2
 259.0s,29280,25.10,44.0,993.2
 259.5s,29281,25.10,44.0,993.2
 260.0s,29282,25.10,44.0,993.2
 260.5s,29283,25.10,44.0,993.2
 261.0s,29284,25.10,44.0,993.2
 261.5s,29285,25.10,44.0,993.2
 262.0s,29286,25.00,44.0,993.0
 262.5s,29287,25.00,44.0,993.0
 263.0s,29288,25.00,44.0,993.0
 263.5s,29289,25.00,44.0,993.2
 264.0s,29290,25.00,44.0,993.2
 264.5s,29291,25.00,44.0,993.2
 265.0s,29292,25.00,44.0,993.2
 265.5s,29293,25.00,44.0,993.2
 266.0s,29294,25.00,44.0,993.2
 266.5s,29295,25.00,44.0,993.2
 267.0s,29296,25.00,44.0,993.2
 267.5s,29297,25.00,44.0,993.2
 268.0s,29298,25.00,44.0,993.2
 268.5s,29299,25.00,44.0,993.2
 269.0s,29300,25.00,44.0,993.2
 269.5s,29301,24.90,45.0,993.2
 270.0s,29302,24.90,45.0,993.2
 270.5s,29303,24.90,45.0,993.2
 271.0s,29304,24.90,45.0,993.2
 271.5s,29305,24.90,45.0,993.2
 272.0s,29306,24.90,45.0,993.2
 272.5s,29307,24.90,45.0,993.0
 273.0s,29308,24.90,45.0,993.0
 273.5s,29309,24.90,45.0,993.2
 274.0s,29310,24.90,45.0,993.2
 274.5s,29311,24.90,45.0,993.2
 275.0s,29312,24.90,45.0,993.2
